city,probableCompany,address,probableWorkType,score,urgency,confidence,estimatedTicket,detectionReason,nextCommercialAction,observations,source,evidenceUrl
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","FORNECIMENTO E INSTALACAO DE PLAYGROUND E EQUIPAMENTOS DE GINASTICA AO AR LIVRE EM DIVERSOS LOCAIS DO MUNICIPIO",100,"alta","alta","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 8.283.148,95.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: OBRAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","ENGENHARIA ELETRICA PARA MANUTENCAO CORRETIVA E ASSISTENCIA TECNICA EM CABINES PRIMARIAS DAS UNIDADES DA PREFEITURA",100,"alta","alta","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 9.508.225,56.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: DIVERSAS SECRETARIAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","EXECUCAO DE RECAPEAMENTO ASFALTICO E CORRELATOS EM DIVERSOS BAIRROS - LOTE 01",100,"alta","alta","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 27.105.878,86.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: OBRAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","EXECUCAO DE RECAPEAMENTO ASFALTICO E CORRELATOS EM DIVERSOS BAIRROS - LOTE 02",100,"alta","alta","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 27.088.491,20.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: OBRAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","EXECUCAO DE RECAPEAMENTO ASFALTICO E CORRELATOS EM DIVERSOS BAIRROS - LOTE 03",100,"alta","alta","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 27.071.105,17.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: OBRAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","CONSERVACAO E MANUTENCAO DE CORREGOS E GALERIA DE AGUAS PLUVIAIS EM AREAS DE SERVIDAO E VIAS PUBLICAS",88,"alta","média","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 15.750.000,00.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: DIVERSAS SECRETARIAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","CONSERVACAO DE ESTRUTURAS METALICAS",88,"alta","média","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 6.262.617,69.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: OBRAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","FORNECIMENTO E INSTALACAO DE TELA DE PROTECAO PARA RESERVATORIOS/CAIXAS DAGUA EM DIVERSOS PROPRIOS MUNICIPAIS",84,"alta","média","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 647.172,01.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: DIVERSAS SECRETARIAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","MANUTENCAO PREVENTIVA E CORRETIVA DAS DEPENDENCIAS DA PRACA DAS ARTES - JARDIM DOS CAMARGOS",82,"alta","média","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 3.576.000,00.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: OBRAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
"Barueri","Contratação pública em aberto (empresa a definir)","Barueri/SP (diversos bairros ou próprios municipais)","SERVICOS DE CONSERVACAO E MANUTENCAO DO BOULEVARD CENTRAL, INCLUINDO LIMPEZA E AJARDINAMENTO",82,"alta","média","R$ 1.5M+","Planejamento de contratação pública com potencial de obra/instalação. Valor estimado R$ 1.350.000,00.","Contato comercial em até 24h com proposta técnica preliminar.","Unidade requisitante: OBRAS.","Barueri PCA 2026","https://www.barueri.sp.gov.br/Transparencia/downloads/Planejamento/PCA_2026_-_Cronograma_de_Contrata%C3%A7%C3%B5es_OBRAS.pdf?ent=1&np=1"
